date,factor_name,raw_coverage,post_filter_coverage,post_neutralization_coverage,cross_section_std
2018-10-26,volatility_1m,1.0,1.0,1.0,1.0000000000000004
2018-10-26,volatility_3m,1.0,1.0,1.0,0.9999999999999994
2018-11-02,liquidity_1m,1.0,1.0,1.0,0.9999999999999996
2018-11-02,momentum_12m,0.979381443298969,0.979381443298969,0.979381443298969,1.0000000000000004
2018-11-02,momentum_1m,1.0,1.0,1.0,0.9999999999999997
2018-11-02,momentum_3m,1.0,1.0,1.0,1.0
2018-11-02,momentum_6m,1.0,1.0,1.0,1.0000000000000004
2018-11-02,reversal_1m,1.0,1.0,1.0,0.9999999999999997
2018-11-02,turnover_1m,0.993127147766323,0.993127147766323,0.993127147766323,0.9999999999999998
2018-11-02,turnover_3m,1.0,1.0,1.0,0.9999999999999999
2018-11-02,volatility_1m,1.0,1.0,1.0,1.0
2018-11-02,volatility_3m,1.0,1.0,1.0,0.9999999999999998
2018-11-09,liquidity_1m,1.0,1.0,1.0,1.0000000000000004
2018-11-09,momentum_12m,0.9829931972789115,0.9829931972789115,0.9829931972789115,0.9999999999999998
2018-11-09,momentum_1m,1.0,1.0,1.0,0.9999999999999998
2018-11-09,momentum_3m,1.0,1.0,1.0,0.9999999999999999
2018-11-09,momentum_6m,1.0,1.0,1.0,1.0000000000000002
2018-11-09,reversal_1m,1.0,1.0,1.0,0.9999999999999998
2018-11-09,turnover_1m,0.9829931972789115,0.9829931972789115,0.9829931972789115,1.0000000000000009
2018-11-09,turnover_3m,0.9897959183673469,0.9897959183673469,0.9897959183673469,1.0000000000000007
2018-11-09,volatility_1m,1.0,1.0,1.0,0.9999999999999999
2018-11-09,volatility_3m,1.0,1.0,1.0,0.9999999999999994
2018-11-16,liquidity_1m,1.0,1.0,1.0,1.0000000000000002
2018-11-16,momentum_12m,0.9829931972789115,0.9829931972789115,0.9829931972789115,0.9999999999999998
2018-11-16,momentum_1m,1.0,1.0,1.0,1.0
2018-11-16,momentum_3m,1.0,1.0,1.0,0.9999999999999998
2018-11-16,momentum_6m,1.0,1.0,1.0,0.9999999999999998
2018-11-16,reversal_1m,1.0,1.0,1.0,1.0
2018-11-16,turnover_1m,0.9829931972789115,0.9829931972789115,0.9829931972789115,1.0000000000000004
2018-11-16,turnover_3m,0.9897959183673469,0.9897959183673469,0.9897959183673469,1.0
2018-11-16,volatility_1m,1.0,1.0,1.0,0.9999999999999994
2018-11-16,volatility_3m,1.0,1.0,1.0,0.9999999999999998
2018-11-23,liquidity_1m,1.0,1.0,1.0,0.9999999999999996
2018-11-23,momentum_12m,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9999999999999997
2018-11-23,momentum_1m,1.0,1.0,1.0,0.9999999999999991
2018-11-23,momentum_3m,1.0,1.0,1.0,1.0000000000000004
2018-11-23,momentum_6m,1.0,1.0,1.0,1.0000000000000004
2018-11-23,reversal_1m,1.0,1.0,1.0,0.9999999999999991
2018-11-23,turnover_1m,0.9864406779661017,0.9864406779661017,0.9864406779661017,1.0000000000000004
2018-11-23,turnover_3m,0.9864406779661017,0.9864406779661017,0.9864406779661017,0.9999999999999997
2018-11-23,volatility_1m,1.0,1.0,1.0,1.0
2018-11-23,volatility_3m,1.0,1.0,1.0,1.0000000000000002
2018-11-30,liquidity_1m,1.0,1.0,1.0,0.9999999999999997
2018-11-30,momentum_12m,0.9831081081081081,0.9831081081081081,0.9831081081081081,0.9999999999999998
2018-11-30,momentum_1m,1.0,1.0,1.0,1.0000000000000009
2018-11-30,momentum_3m,1.0,1.0,1.0,1.0
2018-11-30,momentum_6m,1.0,1.0,1.0,1.0
2018-11-30,reversal_1m,1.0,1.0,1.0,1.0000000000000009
2018-11-30,turnover_1m,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.9999999999999997
2018-11-30,turnover_3m,0.9831081081081081,0.9831081081081081,0.9831081081081081,1.0000000000000002
2018-11-30,volatility_1m,1.0,1.0,1.0,0.9999999999999998
2018-11-30,volatility_3m,1.0,1.0,1.0,0.9999999999999999
2018-12-07,liquidity_1m,1.0,1.0,1.0,1.0000000000000002
2018-12-07,momentum_12m,0.9832214765100671,0.9832214765100671,0.9832214765100671,1.0000000000000007
2018-12-07,momentum_1m,1.0,1.0,1.0,0.9999999999999999
2018-12-07,momentum_3m,1.0,1.0,1.0,1.0
2018-12-07,momentum_6m,1.0,1.0,1.0,0.9999999999999999
2018-12-07,reversal_1m,1.0,1.0,1.0,0.9999999999999999
2018-12-07,turnover_1m,0.9865771812080537,0.9865771812080537,0.9865771812080537,0.9999999999999996
2018-12-07,turnover_3m,0.9798657718120806,0.9798657718120806,0.9798657718120806,0.9999999999999993
2018-12-07,volatility_1m,1.0,1.0,1.0,1.0000000000000004
2018-12-07,volatility_3m,1.0,1.0,1.0,1.0000000000000002
2018-12-14,liquidity_1m,1.0,1.0,1.0,0.9999999999999998
2018-12-14,momentum_12m,0.9832214765100671,0.9832214765100671,0.9832214765100671,1.0
2018-12-14,momentum_1m,1.0,1.0,1.0,0.9999999999999998
2018-12-14,momentum_3m,1.0,1.0,1.0,0.9999999999999994
2018-12-14,momentum_6m,1.0,1.0,1.0,1.0
2018-12-14,reversal_1m,1.0,1.0,1.0,0.9999999999999998
2018-12-14,turnover_1m,0.9899328859060402,0.9899328859060402,0.9899328859060402,0.9999999999999997
2018-12-14,turnover_3m,0.9798657718120806,0.9798657718120806,0.9798657718120806,1.0000000000000002
2018-12-14,volatility_1m,1.0,1.0,1.0,1.0000000000000004
2018-12-14,volatility_3m,1.0,1.0,1.0,0.9999999999999998
2018-12-21,liquidity_1m,1.0,1.0,1.0,0.9999999999999999
2018-12-21,momentum_12m,0.9832214765100671,0.9832214765100671,0.9832214765100671,0.9999999999999998
2018-12-21,momentum_1m,1.0,1.0,1.0,1.0000000000000002
2018-12-21,momentum_3m,1.0,1.0,1.0,1.0000000000000002
2018-12-21,momentum_6m,1.0,1.0,1.0,1.0000000000000002
2018-12-21,reversal_1m,1.0,1.0,1.0,1.0000000000000002
2018-12-21,turnover_1m,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9999999999999994
2018-12-21,turnover_3m,0.9832214765100671,0.9832214765100671,0.9832214765100671,0.9999999999999998
2018-12-21,volatility_1m,1.0,1.0,1.0,1.0
2018-12-21,volatility_3m,1.0,1.0,1.0,1.0000000000000004
2018-12-28,liquidity_1m,1.0,1.0,1.0,1.0000000000000002
2018-12-28,momentum_12m,0.9732441471571907,0.9732441471571907,0.9732441471571907,1.0000000000000007
2018-12-28,momentum_1m,1.0,1.0,1.0,0.9999999999999997
2018-12-28,momentum_3m,1.0,1.0,1.0,1.0
2018-12-28,momentum_6m,1.0,1.0,1.0,0.9999999999999999
